,INCIDENTNEIGHBORHOOD,OFFENSES
2387,Central Business District,9496 Dead on Arrival (DOA)
1475,Central Business District,"6308(a) Underage Purchase, Consume, Possessed or Transport Liquor / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING / 9498 302 (Mental)"
1545,Central Business District,3745 Accidents Involving Damage to Unattended Veh.or Prop.
2316,Central Business District,3743 Accidents Involving Damage to Attended Veh. or Property / 1543 Driving While Operating Privilege is Suspended or Revoked. / 1785 Proof of Financial Responsibility Following Accident.
1552,Central Business District,8106 Shots Fired
2315,Central Business District,3921(a) Theft by Unlawful Taking or Disposition - Movable item
1558,Central Business District,2706 Terroristic Threats. / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING / 9497 Aided Case
1560,Central Business District,3304 Criminal Mischief.
1571,Central Business District,3745 Accidents Involving Damage to Unattended Veh.or Prop.
1542,Central Business District,2701 Simple Assault.
1573,Central Business District,3921(a) Theft by Unlawful Taking or Disposition - Movable item
1575,Central Business District,"2706 Terroristic Threats. / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
1576,Central Business District,9999 9999 - (Misc. Incident): 
1577,Central Business District,9122 Miscellaneous Fire Vehicle Investigation to Continue
2294,Central Business District,3921(a) Theft by Unlawful Taking or Disposition - Movable item
2289,Central Business District,3921(a) Theft by Unlawful Taking or Disposition - Movable item
2288,Central Business District,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
2287,Central Business District,3929 Retail Theft.
1574,Central Business District,3743 Accidents Involving Damage to Attended Veh. or Property
2279,Central Business District,3743 Accidents Involving Damage to Attended Veh. or Property
2332,Central Business District,13(a)(31) Marijuana: Possession Small Amount / 13(a)(32) Paraphernalia - Use or Possession / 1786 Required Financial Responsibility.
1533,Central Business District,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
1481,Central Business District,3701 Robbery.
2383,Central Business District,9123 Miscellaneous Fire Other Investigation to Continue
2378,Central Business District,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another / 2709(a)(4) Harassment Communicates Prohibited Acts
2377,Central Business District,2709(a) Harassment.
2374,Central Business District,9999 9999 - (Misc. Incident): 
2373,Central Business District,601.16 Public Urination And Defecation
1504,Central Business District,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
1538,Central Business District,3921 Theft by Unlawful Taking or Disposition.
1507,Central Business District,2709(a) Harassment.
2359,Central Business District,9490 Missing Persons (18 and Over)
1513,Central Business District,9497 Aided Case
1518,Central Business District,2701 Simple Assault.
2353,Central Business District,3929 Retail Theft.
2350,Central Business District,3934 Theft from Vehicle / 3304 Criminal Mischief.
1523,Central Business District,3929 Retail Theft.
2343,Central Business District,9999 9999 - (Misc. Incident): 
1509,Central Business District,9501 Bench Warrant
1894,Central Business District,3934 Theft from Vehicle
0,Central Business District,3921 Theft by Unlawful Taking or Disposition.
653,Central Business District,3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION
500,Central Business District,9501 Bench Warrant
792,Central Business District,9489 Found Property
793,Central Business District,3921 Theft by Unlawful Taking or Disposition.
525,Central Business District,2709(a)(5) Harassment Communicates Repeatedly in Anonymous Manner
423,Central Business District,13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance
591,Central Business District,3502 Burglary.
301,Central Business District,2701 Simple Assault.
765,Central Business District,2701 Simple Assault.
498,Central Business District,601.16 Public Urination And Defecation
111,Central Business District,5505 Public Drunkenness
122,Central Business District,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 2706 Terroristic Threats. / 13(a)(31) Marijuana: Possession Small Amount / 9501 Bench Warrant"
169,Central Business District,2701 Simple Assault.
284,Central Business District,601.16 Public Urination And Defecation
800,Central Business District,3921 Theft by Unlawful Taking or Disposition.
501,Central Business District,3304 Criminal Mischief.
183,Central Business District,5505 Public Drunkenness
254,Central Business District,3701 Robbery.
149,Central Business District,2701 Simple Assault.
34,Central Business District,3745 Accidents Involving Damage to Unattended Veh.or Prop.
335,Central Business District,601.16 Public Urination And Defecation
802,Central Business District,9498 302 (Mental)
495,Central Business District,9999 9999 - (Misc. Incident): 
594,Central Business District,2709(b) Stalking
37,Central Business District,3934 Theft from Vehicle
703,Central Business District,13(a)(16) Possession of Controlled Substance
702,Central Business District,2701(b)(1) Simple Assault - Fight or Scuffle Entered by Mutual Consent
446,Central Business District,3743 Accidents Involving Damage to Attended Veh. or Property / 3744 Duty to Give Information and Render Aid
760,Central Business District,2709 Harassment (Non-Specific)
803,Central Business District,3921 Theft by Unlawful Taking or Disposition.
332,Central Business District,9497 Aided Case
455,Central Business District,2706 Terroristic Threats.
63,Central Business District,9489 Found Property
555,Central Business District,2701 Simple Assault.
439,Central Business District,9999 9999 - (Misc. Incident): SVP Community Notification
567,Central Business District,13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 9501 Bench Warrant
565,Central Business District,9999 9999 - (Misc. Incident): Welfare Check 
449,Central Business District,9501 Bench Warrant
585,Central Business District,9998 Overdose Other
738,Central Business District,9501 Bench Warrant
737,Central Business District,3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION
154,Central Business District,3921 Theft by Unlawful Taking or Disposition.
180,Central Business District,3503 Criminal Trespass
348,Central Business District,3743 Accidents Involving Damage to Attended Veh. or Property
506,Central Business District,3304 Criminal Mischief.
66,Central Business District,3502 Burglary. / 3304 Criminal Mischief.
346,Central Business District,2701 Simple Assault.
103,Central Business District,2709(a) Harassment.
659,Central Business District,3921(a) Theft by Unlawful Taking or Disposition - Movable item
559,Central Business District,2701 Simple Assault.
282,Central Business District,2701 Simple Assault. / 2709 Harassment (Non-Specific) / 5505 Public Drunkenness / 5503 Disorderly Conduct.
558,Central Business District,2709(a) Harassment.
29,Central Business District,601.16 Public Urination And Defecation
627,Central Business District,5503(a)(3) DISORDERLY CONDUCT - OBSCENE LANG/GEST / 5101 Obstructing Admin. of Law  / 5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE
728,Central Business District,9998 Overdose Other
787,Central Business District,3502 Burglary. / 3503 Criminal Trespass
67,Central Business District,601.16 Public Urination And Defecation
78,Central Business District,"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION"
259,Central Business District,9999 9999 - (Misc. Incident): 
343,Central Business District,9017 Found Drugs
242,Central Business District,3743 Accidents Involving Damage to Attended Veh. or Property
300,Central Business District,9999 9999 - (Misc. Incident): 9999 - (Misc. Incident): 
517,Central Business District,9998 Overdose Other
435,Central Business District,3743 Accidents Involving Damage to Attended Veh. or Property
219,Central Business District,3929 Retail Theft. / 2706 Terroristic Threats.
642,Central Business District,9489 Found Property
257,Central Business District,5505 Public Drunkenness
744,Central Business District,3745 Accidents Involving Damage to Unattended Veh.or Prop.
64,Central Business District,5505 Public Drunkenness
331,Central Business District,9998 Overdose Other
402,Central Business District,3743 Accidents Involving Damage to Attended Veh. or Property
285,Central Business District,601.16 Public Urination And Defecation
206,Central Business District,3934 Theft from Vehicle / 4106 Access Device Fraud / 3304 Criminal Mischief.
603,Central Business District,9498 302 (Mental)
45,Central Business District,9999 9999 - (Misc. Incident): Ejection-Female Fall
124,Central Business District,601.16 Public Urination And Defecation
23,Central Business District,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake."
313,Central Business District,3921(a) Theft by Unlawful Taking or Disposition - Movable item
294,Central Business District,3743 Accidents Involving Damage to Attended Veh. or Property / 1543 Driving While Operating Privilege is Suspended or Revoked. / 1786 Required Financial Responsibility.
530,Central Business District,2709 Harassment (Non-Specific) / 2701 Simple Assault.
143,Central Business District,601.16 Public Urination And Defecation
186,Central Business District,3929 Retail Theft. / 2706 Terroristic Threats.
456,Central Business District,9498 302 (Mental)
322,Central Business District,3921 Theft by Unlawful Taking or Disposition.
753,Central Business District,9998 Overdose Other
812,Central Business District,2709(a) Harassment.
816,Central Business District,2709 Harassment (Non-Specific)
184,Central Business District,5505 Public Drunkenness
44,Central Business District,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury"
808,Central Business District,9497 Aided Case
828,Central Business District,9497 Aided Case
410,Central Business District,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury"
825,Central Business District,9999 9999 - (Misc. Incident): 
155,Central Business District,9994 PFA Service
128,Central Business District,"2706 Terroristic Threats. / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF / 4914 False Identification to Law Enforcement Authorities"
88,Central Business District,2702 Aggravated Assault.
535,Central Business District,5505 Public Drunkenness
398,Central Business District,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
463,Central Business District,13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 903 Criminal Conspiracy. / 13(a)(30)* Delivery of Controlled Substance
185,Central Business District,9497 Aided Case
596,Central Business District,2701 Simple Assault. / 3743 Accidents Involving Damage to Attended Veh. or Property
696,Central Business District,3921 Theft by Unlawful Taking or Disposition. / 3925 Receiving Stolen Property.
225,Central Business District,5505 Public Drunkenness
159,Central Business District,9498 302 (Mental)
609,Central Business District,3701 Robbery. / 5104 Resisting Arrest or Other Law Enforcement. / 3925 Receiving Stolen Property. / 6106 Firearms not to be Carried without a License.
246,Central Business District,9496 Dead on Arrival (DOA)
262,Central Business District,9998 Overdose Other
695,Central Business District,5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING
363,Central Business District,9495 Suicide
539,Central Business District,3929 Retail Theft.
1204,Central Lawrenceville,3921(a) Theft by Unlawful Taking or Disposition - Movable item
1756,Central Lawrenceville,"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise"
673,Central Lawrenceville,2709(a)(3) Harassment No Legitimate Purpose
2847,Central Lawrenceville,3921(a) Theft by Unlawful Taking or Disposition - Movable item
966,Central Lawrenceville,3921 Theft by Unlawful Taking or Disposition. / 3503(b.1) Criminal Trespass - Simple Trespasser
91,Central Lawrenceville,9999 9999 - (Misc. Incident): 
2885,Central Lawrenceville,3745 Accidents Involving Damage to Unattended Veh.or Prop.
1336,Central Lawrenceville,3934 Theft from Vehicle / 3304 Criminal Mischief.
2030,Central Lawrenceville,3921 Theft by Unlawful Taking or Disposition.
2716,Central Lawrenceville,9129 Miscellaneous Investigation
1216,Central Lawrenceville,3921(a) Theft by Unlawful Taking or Disposition - Movable item
2173,Central Lawrenceville,3929 Retail Theft.
995,Central Lawrenceville,3745 Accidents Involving Damage to Unattended Veh.or Prop.
2541,Central Lawrenceville,8106 Shots Fired
2511,Central Lawrenceville,9999 9999 - (Misc. Incident): Assist outside agency: Polk Police
2673,Central Lawrenceville,3743 Accidents Involving Damage to Attended Veh. or Property
2408,Central Lawrenceville,9498 302 (Mental)
595,Central Lawrenceville,9994 PFA Service
1506,Central Lawrenceville,9497 Aided Case
2385,Central Lawrenceville,9504 Lost Property
1958,Central Lawrenceville,"3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)"
2497,Central Lawrenceville,3922 Theft by Deception.
1666,Central Lawrenceville,3921(a) Theft by Unlawful Taking or Disposition - Movable item
31,Central Lawrenceville,9122 Miscellaneous Fire Vehicle Investigation to Continue
1767,Central Lawrenceville,2701 Simple Assault.
2131,Central Lawrenceville,9999 9999 - (Misc. Incident): 
1379,Central Lawrenceville,3743 Accidents Involving Damage to Attended Veh. or Property
1623,Central Lawrenceville,3745 Accidents Involving Damage to Unattended Veh.or Prop.
743,Central Lawrenceville,3745 Accidents Involving Damage to Unattended Veh.or Prop.
1887,Central North Side,3921(a) Theft by Unlawful Taking or Disposition - Movable item
2039,Central North Side,9999 9999 - (Misc. Incident): Welfare  Check
1915,Central North Side,13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(16) Possession of Controlled Substance / 3809(a) Restriction on Alcoholic Beverages in Vehicle / 4524 Windshield Obstructions and Wipers. / 4581 Restraint Systems. / 627.02(b)(i) Possessing a small amount of marijuana / 1543 Driving While Operating Privilege is Suspended or Revoked. / 3323 Stop Signs and Yield Signs.
2795,Central North Side,3929 Retail Theft.
80,Central North Side,"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise / 9501 Bench Warrant"
272,Central North Side,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury"
2189,Central North Side,3921 Theft by Unlawful Taking or Disposition.
2475,Central North Side,9497 Aided Case
1368,Central North Side,13(a)(16) Possession of Controlled Substance / 13(a)(30)* Delivery of Controlled Substance
2051,Central North Side,3921 Theft by Unlawful Taking or Disposition.
1496,Central North Side,"1333 Lost, Stolen, Damaged or Illegible Registration Plate."
2585,Central North Side,3921 Theft by Unlawful Taking or Disposition.
1346,Central North Side,9497 Aided Case
1423,Central North Side,2701 Simple Assault. / 9501 Bench Warrant
2089,Central North Side,9999 9999 - (Misc. Incident): 
2879,Central North Side,2701 Simple Assault. / 9501 Bench Warrant
188,Central North Side,2701 Simple Assault.
1906,Central North Side,4106 Access Device Fraud
947,Central North Side,3921(a) Theft by Unlawful Taking or Disposition - Movable item
2634,Central North Side,9496 Dead on Arrival (DOA)
1219,Central North Side,3304 Criminal Mischief.
1381,Central North Side,9999 9999 - (Misc. Incident): 
510,Central North Side,9998 Overdose Other
970,Central North Side,2702 Aggravated Assault. / 2706 Terroristic Threats. / 5104 Resisting Arrest or Other Law Enforcement. / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION
1047,Central North Side,6106 Firearms not to be Carried without a License. / 1799 Restraint System. / 3334 Turning Movements and Required Signals.
51,Central North Side,3304 Criminal Mischief.
1589,Central North Side,627.02(b)(i) Possessing a small amount of marijuana / 1543 Driving While Operating Privilege is Suspended or Revoked.
2477,Central North Side,9129 Miscellaneous Investigation
1051,Central Oakland,3929 Retail Theft.
2588,Central Oakland,3921 Theft by Unlawful Taking or Disposition.
1827,Central Oakland,5505 Public Drunkenness
2469,Central Oakland,3745 Accidents Involving Damage to Unattended Veh.or Prop.
2498,Central Oakland,5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF / 901 Criminal Attempt
1793,Central Oakland,"6308(a) Underage Purchase, Consume, Possessed or Transport Liquor / 5505 Public Drunkenness / 6310.3(a) Carrying a False Identification Card; under 21 to obtain liquor / 601.08(a) Alcohol or Liquor Consumption on Streets or Sidewalks / 6501(a)(1) Scattering Rubbish; Any waste, dangerous or detrimental substance upon public property or waters"
1186,Central Oakland,3743 Accidents Involving Damage to Attended Veh. or Property
492,Central Oakland,2709(a) Harassment.
687,Central Oakland,9999 9999 - (Misc. Incident): Crash vs Bicyclist
1801,Central Oakland,3921(a) Theft by Unlawful Taking or Disposition - Movable item
1804,Central Oakland,3921 Theft by Unlawful Taking or Disposition.
2207,Central Oakland,13(a)(31) Marijuana: Possession Small Amount / 9501 Bench Warrant / 3714 Careless Driving / 1543 Driving While Operating Privilege is Suspended or Revoked. / 3111 Obedience to Traffic-Control Devices.
1960,Central Oakland,"3133(c)(2) Disseminates, or threatens to disseminate an image, video, or demands payment not to."
1119,Central Oakland,9134 Pedestrian Hit by Vehicle/Non-Reportable Accident
1271,Central Oakland,"6308(a) Underage Purchase, Consume, Possessed or Transport Liquor / 5505 Public Drunkenness"
1370,Central Oakland,3921(a) Theft by Unlawful Taking or Disposition - Movable item
1861,Central Oakland,"3301(d.1) Dangerous Burning / 3304(a)(1) CRIMINAL MISCHIEF-Prop Damage By Fire, Explosives, or Other Dangerous Means"
1594,Central Oakland,3745 Accidents Involving Damage to Unattended Veh.or Prop.
1228,Central Oakland,3921 Theft by Unlawful Taking or Disposition. / 2706 Terroristic Threats.
1102,Central Oakland,9501 Bench Warrant / 1543 Driving While Operating Privilege is Suspended or Revoked. / 13(a)(31)(i) Marijuana - Possess Small Amt for Personal Use / 1301 Registration and Certificate of Title Required.
2453,Central Oakland,"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise"
1536,Central Oakland,3929 Retail Theft.
317,Central Oakland,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING"
239,Chartiers City,9129 Miscellaneous Investigation
634,Chartiers City,9497 Aided Case
1599,Chateau,9124 Drug Investigation
42,Chateau,9994 PFA Service
655,Chateau,"3925 Receiving Stolen Property. / 6106 Firearms not to be Carried without a License. / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 9501 Bench Warrant / 13(a)(30)* Delivery of Controlled Substance / 6105(c)(9) Persons Not To Possess Use Manuf, Control Firearm"
268,Chateau,5505 Public Drunkenness
1185,Chateau,9502 Police Pursuit
2523,Chateau,1543 Driving While Operating Privilege is Suspended or Revoked. / 627.02(b)(i) Possessing a small amount of marijuana / 3736 Reckless Driving
1079,Chateau,4915 Failure to Comply with Megans Law
2819,Chateau,3309 Driving on Roadways Laned for Traffic. / 4302 Periods for Requiring Lighted Lamps. / 4303 General Lighting Requirements. / 3802(a)(1) DUI - General Impairment / 3301 Driving on Right Side of Roadway.
2376,Chateau,2701(a)(3) Simple Assault - Attempts by Physical Menace 
1078,Chateau,4915 Failure to Comply with Megans Law
664,Chateau,3934 Theft from Vehicle
133,Chateau,6106 Firearms not to be Carried without a License. / 13(a)(16) Possession of Controlled Substance / 3743 Accidents Involving Damage to Attended Veh. or Property / 9129 Miscellaneous Investigation / 1543 Driving While Operating Privilege is Suspended or Revoked.
2952,Chateau,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake."
1968,Chateau,9124 Drug Investigation
2722,Chateau,1543 Driving While Operating Privilege is Suspended or Revoked.
2692,Chateau,9129 Miscellaneous Investigation
663,Chateau,3934 Theft from Vehicle / 3304 Criminal Mischief.
1492,Chateau,9124 Drug Investigation
1094,Chateau,3502 Burglary. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3304 Criminal Mischief.
121,Chateau,9124 Drug Investigation
120,Chateau,9124 Drug Investigation
2797,Chateau,4106 Access Device Fraud
1014,Chateau,3921(a) Theft by Unlawful Taking or Disposition - Movable item
451,Chateau,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 5507 Obstructing Highways and Passages. / 1786 Required Financial Responsibility. / 1543 Driving While Operating Privilege is Suspended or Revoked."
2736,Chateau,3742 Accidents Involving Death or Personal Injury
1583,Chateau,9998 Overdose Other
649,Chateau,9124 Drug Investigation
2883,Chateau,9124 Drug Investigation
2662,Chateau,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 5507 Obstructing Highways and Passages. / 1786 Required Financial Responsibility. / 1543 Driving While Operating Privilege is Suspended or Revoked."
142,Chateau,9490 Missing Persons (18 and Over)
2678,Chateau,9124 Drug Investigation
2255,Chateau,9129 Miscellaneous Investigation
1525,Chateau,3743 Accidents Involving Damage to Attended Veh. or Property / 3744 Duty to Give Information and Render Aid
297,Chateau,3743 Accidents Involving Damage to Attended Veh. or Property
1369,Chateau,9129 Miscellaneous Investigation
2548,Chateau,3743 Accidents Involving Damage to Attended Veh. or Property
2764,Crafton Heights,9498 302 (Mental)
1331,Crafton Heights,9994 PFA Service
1734,Crafton Heights,2701 Simple Assault.
1791,Crafton Heights,9999 9999 - (Misc. Incident): 
1339,Crafton Heights,9497 Aided Case
1715,Crafton Heights,9994 PFA Service
1081,Crafton Heights,3921 Theft by Unlawful Taking or Disposition.
2330,Crafton Heights,9489 Found Property
583,Crafton Heights,9994 PFA Service
862,Crafton Heights,9999 9999 - (Misc. Incident): 
969,Crafton Heights,9994 PFA Service
1460,Crafton Heights,9999 9999 - (Misc. Incident): 
699,Crafton Heights,607.03 Discharging Firearm or Airgun / 8106 Shots Fired
1641,Crafton Heights,9501 Bench Warrant / 9998 Overdose Other
1344,Crafton Heights,2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2709(a)(3) Harassment No Legitimate Purpose / 5501 Riot. / 3503 Criminal Trespass / 3733 Fleeing or Attempting to Elude Police Officer / 907 Possessing Instruments of Crime. / 3323 Stop Signs and Yield Signs.
420,Crafton Heights,9993 PFA Service with Weapons Supplement
2605,Crafton Heights,9999 9999 - (Misc. Incident): 
1775,Crafton Heights,8106 Shots Fired
2950,Crafton Heights,029 Missing Juvenile
679,Crafton Heights,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 2701(a)(3) Simple Assault - Attempts by Physical Menace "
2533,Crafton Heights,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck
2945,Crafton Heights,9999 9999 - (Misc. Incident): 
192,Crafton Heights,3502 Burglary. / 2701 Simple Assault.
1553,Crafton Heights,2709(a)(5) Harassment Communicates Repeatedly in Anonymous Manner
2471,Crafton Heights,9999 9999 - (Misc. Incident): 
374,Crafton Heights,2701(a)(3) Simple Assault - Attempts by Physical Menace  / 3503(b)(1)(iii) Defiant Trespass - Fencing or Other Enclosure / 2701(b)(1) Simple Assault - Fight or Scuffle Entered by Mutual Consent
2256,Crafton Heights,3921(a) Theft by Unlawful Taking or Disposition - Movable item
2115,Crawford-Roberts,3921(a) Theft by Unlawful Taking or Disposition - Movable item
330,Crawford-Roberts,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another
419,Crawford-Roberts,9993 PFA Service with Weapons Supplement
418,Crawford-Roberts,9993 PFA Service with Weapons Supplement
2663,Crawford-Roberts,9999 9999 - (Misc. Incident): 
1162,Crawford-Roberts,9504 Lost Property
72,Crawford-Roberts,9999 9999 - (Misc. Incident): Road rage
1161,Crawford-Roberts,9993 PFA Service with Weapons Supplement
1624,Crawford-Roberts,9994 PFA Service
2122,Crawford-Roberts,9999 9999 - (Misc. Incident): 
2753,Crawford-Roberts,3921 Theft by Unlawful Taking or Disposition. / 3304 Criminal Mischief.
1135,Crawford-Roberts,2709(a) Harassment.
1951,Crawford-Roberts,9497 Aided Case
751,Crawford-Roberts,9993 PFA Service with Weapons Supplement
2341,Crawford-Roberts,9999 9999 - (Misc. Incident): 
2532,Crawford-Roberts,607.03 Discharging Firearm or Airgun / 8106 Shots Fired
2951,Crawford-Roberts,"3925 Receiving Stolen Property. / 6106 Firearms not to be Carried without a License. / 9501 Bench Warrant / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)"
2796,Crawford-Roberts,9994 PFA Service
628,Crawford-Roberts,9496 Dead on Arrival (DOA)
466,Crawford-Roberts,13(a)(32) Paraphernalia - Use or Possession / 9501 Bench Warrant / 4914 False Identification to Law Enforcement Authorities
2802,Crawford-Roberts,9993 PFA Service with Weapons Supplement
1785,Crawford-Roberts,3934 Theft from Vehicle / 4106 Access Device Fraud
2803,Crawford-Roberts,9994 PFA Service
2161,Crawford-Roberts,2709(a)(4) Harassment Communicates Prohibited Acts
853,Crawford-Roberts,9489 Found Property
2160,Crawford-Roberts,9994 PFA Service
2365,Crawford-Roberts,9994 PFA Service
2159,Crawford-Roberts,9994 PFA Service
2521,Crawford-Roberts,3502 Burglary. / 901 Criminal Attempt
1787,Crawford-Roberts,9999 9999 - (Misc. Incident): 
2712,Crawford-Roberts,9999 9999 - (Misc. Incident): 
1243,Crawford-Roberts,9993 PFA Service with Weapons Supplement
1187,Crawford-Roberts,9993 PFA Service with Weapons Supplement
327,Crawford-Roberts,3503 Criminal Trespass
1249,Crawford-Roberts,9994 PFA Service
2661,Crawford-Roberts,3743 Accidents Involving Damage to Attended Veh. or Property
1173,Crawford-Roberts,2709(a) Harassment.
1614,Crawford-Roberts,3934 Theft from Vehicle / 13(a)(32) Paraphernalia - Use or Possession / 5506 Loitering and Prowling at Night
2158,Crawford-Roberts,9994 PFA Service
2100,Crawford-Roberts,9489 Found Property
1707,Crawford-Roberts,2706 Terroristic Threats.
1980,Crawford-Roberts,9994 PFA Service
648,Crawford-Roberts,9994 PFA Service
60,Crawford-Roberts,9993 PFA Service with Weapons Supplement
480,Crawford-Roberts,9993 PFA Service with Weapons Supplement
2772,Crawford-Roberts,9492 Dog Bite
344,Crawford-Roberts,9994 PFA Service
2013,Crawford-Roberts,9994 PFA Service
1985,Crawford-Roberts,9994 PFA Service
2851,Crawford-Roberts,9999 9999 - (Misc. Incident): 
1987,Crawford-Roberts,3921(a) Theft by Unlawful Taking or Disposition - Movable item
1819,Crawford-Roberts,9993 PFA Service with Weapons Supplement
2784,Crawford-Roberts,9993 PFA Service with Weapons Supplement
724,Crawford-Roberts,9999 9999 - (Misc. Incident): 
1091,Crawford-Roberts,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats"
566,Crawford-Roberts,9994 PFA Service
1562,Crawford-Roberts,9994 PFA Service
2881,Crawford-Roberts,3934 Theft from Vehicle
2318,Crawford-Roberts,9994 PFA Service
424,Crawford-Roberts,9994 PFA Service
276,Crawford-Roberts,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake."
2550,Crawford-Roberts,3304 Criminal Mischief.
1837,Crawford-Roberts,2702 Aggravated Assault. / 5505 Public Drunkenness / 5503 Disorderly Conduct.
1559,Crawford-Roberts,8106 Shots Fired
1013,Crawford-Roberts,2701 Simple Assault. / 2706 Terroristic Threats. / 2901 Kidnapping. / 3745 Accidents Involving Damage to Unattended Veh.or Prop. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck
2075,Duquesne Heights,9498 302 (Mental)
976,Duquesne Heights,3934 Theft from Vehicle
328,Duquesne Heights,9994 PFA Service
2941,Duquesne Heights,2701 Simple Assault.
1561,Duquesne Heights,4120 Identity Theft
524,Duquesne Heights,3921 Theft by Unlawful Taking or Disposition. / 3304 Criminal Mischief.
2908,Duquesne Heights,9490 Missing Persons (18 and Over)
1515,Duquesne Heights,2701 Simple Assault.
2748,Duquesne Heights,3934 Theft from Vehicle
1223,Duquesne Heights,3921(a) Theft by Unlawful Taking or Disposition - Movable item
1975,Duquesne Heights,3934 Theft from Vehicle
512,Duquesne Heights,9999 9999 - (Misc. Incident): 
1191,Duquesne Heights,3934 Theft from Vehicle
2123,Duquesne Heights,3304 Criminal Mischief.
2203,Duquesne Heights,9498 302 (Mental)
1232,East Allegheny,9501 Bench Warrant
1580,East Allegheny,13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance / 9501 Bench Warrant
1891,East Allegheny,13(a)(16) Possession of Controlled Substance / 13(a)(32) Paraphernalia - Use or Possession / 9998 Overdose Other
1038,East Allegheny,2709 Harassment (Non-Specific)
175,East Allegheny,"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise / 13(a)(32) Paraphernalia - Use or Possession"
445,East Allegheny,3934 Theft from Vehicle
24,East Allegheny,2701 Simple Assault.
321,East Allegheny,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury"
